"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Aythya fuligula","Tufted Duck","Fuligule morillon","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",670,"USACAN"
"Aythya marila","Greater Scaup","Fuligule milouinan","Christmas Bird Count (CBC)","Y","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",680,"USACAN"
"Aythya affinis","Lesser Scaup","Petit Fuligule","North American Breeding Bird Survey (BBS)","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",690,"Canada"
"Somateria spectabilis","King Eider","Eider à tête grise","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",730,"USACAN"
"Somateria mollissima","Common Eider","Eider à duvet","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",740,"USACAN"
"Histrionicus histrionicus","Harlequin Duck","Arlequin plongeur","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",750,"BCR05"
"Melanitta perspicillata","Surf Scoter","Macreuse à front blanc","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",770,"USACAN"
"Melanitta americana","Black Scoter","Macreuse à bec jaune","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",791,"USACAN"
"Clangula hyemalis","Long-tailed Duck","Harelde kakawi","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",810,"USACAN"
"Bucephala albeola","Bufflehead","Petit Garrot","Waterfowl Breeding Population and Habitat Survey in Western Canada and the Northwestern United States","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",820,"CANPRAIRIE_WBOREAL"
"Bucephala clangula","Common Goldeneye","Garrot à oeil d'or","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","Y","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",830,"USACAN"
"Bucephala islandica","Barrow's Goldeneye","Garrot d'Islande","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","Y","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",840,"USACAN"
"Lophodytes cucullatus","Hooded Merganser","Harle couronné","Christmas Bird Count (CBC)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",870,"USACAN"
"Mergus merganser","Common Merganser","Grand Harle","Christmas Bird Count (CBC)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",880,"USACAN"
"Mergus serrator","Red-breasted Merganser","Harle huppé","Christmas Bird Count (CBC)","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",890,"USACAN"
"Alectoris chukar","Chukar","Perdrix choukar","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1050,"Canada"
"Perdix perdix","Gray Partridge","Perdrix grise","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1100,"Canada"
"Bonasa umbellus","Ruffed Grouse","Gélinotte huppée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",1160,"Canada"
"Centrocercus urophasianus","Greater Sage-Grouse","Tétras des armoises","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","Y","N",1170,NA
"Canachites canadensis","Spruce Grouse","Tétras du Canada","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",1190,"CAN"
"Lagopus lagopus","Willow Ptarmigan","Lagopède des saules","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",1200,"CAN"
"Lagopus muta","Rock Ptarmigan","Lagopède alpin","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N",1210,NA
"Lagopus leucura","White-tailed Ptarmigan","Lagopède à queue blanche","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",1220,NA
"Dendragapus obscurus","Dusky Grouse","Tétras sombre","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",1240,"CAN"
"Dendragapus fuliginosus","Sooty Grouse","Tétras fuligineux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",1250,"Canada"
"Tympanuchus phasianellus","Sharp-tailed Grouse","Tétras à queue fine","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","Y",1260,"Canada"
"Meleagris gallopavo","Wild Turkey","Dindon sauvage","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1290,"Canada"
"Callipepla californica","California Quail","Colin de Californie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1380,"Canada"
"Colinus virginianus","Northern Bobwhite","Colin de Virginie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N",1410,"Canada"
"Gavia stellata","Red-throated Loon","Plongeon catmarin","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",1530,"USACAN"
"Gavia pacifica","Pacific Loon","Plongeon du Pacifique","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",1550,"CAN"
"Gavia immer","Common Loon","Plongeon huard","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1560,"Canada"
"Gavia adamsii","Yellow-billed Loon","Plongeon à bec blanc","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",1570,"BCR05"
"Podilymbus podiceps","Pied-billed Grebe","Grèbe à bec bigarré","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1600,"Canada"
"Podiceps auritus","Horned Grebe","Grèbe esclavon","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1620,"USACAN"
"Podiceps grisegena","Red-necked Grebe","Grèbe jougris","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1630,"USACAN"
"Podiceps nigricollis","Eared Grebe","Grèbe à cou noir","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1640,"Canada"
"Aechmophorus occidentalis","Western Grebe","Grèbe élégant","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1650,"Canada"
"Aechmophorus clarkii","Clark's Grebe","Grèbe à face blanche","No Suitable Data","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1660,NA
"Phoebastria immutabilis","Laysan Albatross","Albatros de Laysan","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1730,NA
"Phoebastria nigripes","Black-footed Albatross","Albatros à pieds noirs","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1740,NA
"Phoebastria albatrus","Short-tailed Albatross","Albatros à queue courte","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1750,NA
"Fulmarus glacialis","Northern Fulmar","Fulmar boréal","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",1760,"Arctic"
"Pterodroma ultima","Murphy's Petrel","Pétrel de Murphy","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1800,NA
"Pterodroma inexpectata","Mottled Petrel","Pétrel maculé","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",1810,NA
