"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Aquila chrysaetos","Golden Eagle","Aigle royal","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3440,"Canada"
"Falco sparverius","American Kestrel","Crécerelle d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",3570,"Canada"
"Falco columbarius","Merlin","Faucon émerillon","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3580,"Canada"
"Falco rusticolus","Gyrfalcon","Faucon gerfaut","Christmas Bird Count (CBC)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",3630,"USACAN"
"Falco mexicanus","Prairie Falcon","Faucon des prairies","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y",3650,"Canada"
"Coturnicops noveboracensis","Yellow Rail","Râle jaune","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",3680,"USACAN"
"Rallus elegans","King Rail","Râle élégant","No Suitable Data","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",3761,NA
"Rallus limicola","Virginia Rail","Râle de Virginie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",3770,"Canada"
"Porzana carolina","Sora","Marouette de Caroline","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",3830,"Canada"
"Antigone canadensis","Sandhill Crane","Grue du Canada","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",4010,"Canada"
"Grus americana","Whooping Crane","Grue blanche","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",4030,"USACAN"
"Pluvialis squatarola","Black-bellied Plover","Pluvier argenté","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",4070,"NorthAmerica"
"Pluvialis dominica","American Golden-Plover","Pluvier bronzé","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4100,"NorthAmerica"
"Pluvialis fulva","Pacific Golden-Plover","Pluvier fauve","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4110,NA
"Charadrius hiaticula","Common Ringed Plover","Pluvier grand-gravelot","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4170,NA
"Charadrius semipalmatus","Semipalmated Plover","Pluvier semipalmé","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",4180,"NorthAmerica"
"Charadrius melodus","Piping Plover","Pluvier siffleur","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4190,"NorthAmerica"
"Charadrius vociferus","Killdeer","Pluvier kildir","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4210,"Canada"
"Anarhynchus montanus","Mountain Plover","Pluvier montagnard","No Suitable Data","N","N","N","N","N",NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","Y","N",4220,NA
"Haematopus palliatus","American Oystercatcher","Huîtrier d'Amérique","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4260,NA
"Haematopus bachmani","Black Oystercatcher","Huîtrier de Bachman","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",4270,"BC"
"Himantopus mexicanus","Black-necked Stilt","Échasse d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",4290,"Canada"
"Recurvirostra americana","American Avocet","Avocette d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4300,"Canada"
"Actitis macularius","Spotted Sandpiper","Chevalier grivelé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",4350,"Canada"
"Tringa solitaria","Solitary Sandpiper","Chevalier solitaire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",4370,"Canada"
"Tringa semipalmata","Willet","Chevalier semipalmé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y",4380,"Canada"
"Tringa incana","Wandering Tattler","Chevalier errant","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",4390,"USACAN"
"Tringa melanoleuca","Greater Yellowlegs","Grand Chevalier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",4420,"Canada"
"Tringa flavipes","Lesser Yellowlegs","Petit Chevalier","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",4450,"NorthAmerica"
"Bartramia longicauda","Upland Sandpiper","Maubèche des champs","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","Y",4500,"Canada"
"Numenius borealis","Eskimo Curlew","Courlis esquimau","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4520,NA
"Numenius phaeopus","Whimbrel","Courlis corlieu","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4530,"NorthAmerica"
"Numenius americanus","Long-billed Curlew","Courlis à long bec","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y",4580,"Canada"
"Limosa haemastica","Hudsonian Godwit","Barge hudsonienne","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4600,"NorthAmerica"
"Limosa fedoa","Marbled Godwit","Barge marbrée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y",4620,"Canada"
"Arenaria interpres","Ruddy Turnstone","Tournepierre à collier","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",4630,"NorthAmerica"
"Arenaria melanocephala","Black Turnstone","Tournepierre noir","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4640,"USACAN"
"Calidris virgata","Surfbird","Bécasseau du ressac","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","N",4650,"USACAN"
"Calidris canutus","Red Knot","Bécasseau maubèche","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",4670,"NorthAmerica"
"Calidris alba","Sanderling","Bécasseau sanderling","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4680,"NorthAmerica"
"Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4690,"NorthAmerica"
"Calidris mauri","Western Sandpiper","Bécasseau d'Alaska","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N",4700,"USACAN"
"Calidris minutilla","Least Sandpiper","Bécasseau minuscule","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4750,"NorthAmerica"
"Calidris fuscicollis","White-rumped Sandpiper","Bécasseau à croupion blanc","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4760,"NorthAmerica"
"Calidris bairdii","Baird's Sandpiper","Bécasseau de Baird","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4770,"NorthAmerica"
"Calidris melanotos","Pectoral Sandpiper","Bécasseau à poitrine cendrée","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4780,"NorthAmerica"
"Calidris acuminata","Sharp-tailed Sandpiper","Bécasseau à queue pointue","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N",4790,NA
"Calidris maritima","Purple Sandpiper","Bécasseau violet","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","N",4800,"USACAN"
"Calidris ptilocnemis","Rock Sandpiper","Bécasseau des Aléoutiennes","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","N",4810,"BC"
"Calidris alpina","Dunlin","Bécasseau variable","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","N",4820,"NorthAmerica"
"Calidris himantopus","Stilt Sandpiper","Bécasseau à échasses","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4840,"NorthAmerica"
"Calidris subruficollis","Buff-breasted Sandpiper","Bécasseau roussâtre","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",4870,"NorthAmerica"
"Limnodromus griseus","Short-billed Dowitcher","Bécassin roux","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",4890,"NorthAmerica"
"Limnodromus scolopaceus","Long-billed Dowitcher","Bécassin à long bec","Program for Regional and International Shorebird Monitoring (PRISM) - Fall Migration","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","N","N","N","N","N","N",4900,"NorthAmerica"
"Gallinago delicata","Wilson's Snipe","Bécassine de Wilson","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4950,"Canada"
"Scolopax minor","American Woodcock","Bécasse d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N",4980,"Canada"
"Phalaropus tricolor","Wilson's Phalarope","Phalarope de Wilson","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",4990,"Canada"
"Phalaropus lobatus","Red-necked Phalarope","Phalarope à bec étroit","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",5000,NA
"Phalaropus fulicarius","Red Phalarope","Phalarope à bec large","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","N","N","N",5010,NA
"Leucophaeus atricilla","Laughing Gull","Mouette atricille","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5040,NA
"Leucophaeus pipixcan","Franklin's Gull","Mouette de Franklin","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",5050,"Canada"
"Hydrocoloeus minutus","Little Gull","Mouette pygmée","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5060,"USACAN"
"Chroicocephalus ridibundus","Black-headed Gull","Mouette rieuse","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5070,NA
"Chroicocephalus philadelphia","Bonaparte's Gull","Mouette de Bonaparte","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5080,"USACAN"
"Larus heermanni","Heermann's Gull","Goéland de Heermann","British Columbia Coastal Waterbird Survey","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5090,"SALISHSEA"
"Larus brachyrhynchus","Short-billed Gull","Goéland à bec court","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5142,"Canada"
"Larus delawarensis","Ring-billed Gull","Goéland à bec cerclé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5150,"Canada"
"Larus californicus","California Gull","Goéland de Californie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5160,"Canada"
"Larus argentatus","Herring Gull","Goéland argenté","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5170,"USACAN"
"Larus fuscus","Lesser Black-backed Gull","Goéland brun","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5210,"CAN"
"Larus occidentalis","Western Gull","Goéland d'Audubon","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5240,"CAN"
"Larus glaucescens","Glaucous-winged Gull","Goéland à ailes grises","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5250,"Canada"
"Larus hyperboreus","Glaucous Gull","Goéland bourgmestre","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",5270,"USACAN"
"Larus marinus","Great Black-backed Gull","Goéland marin","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5280,"USACAN"
"Xema sabini","Sabine's Gull","Mouette de Sabine","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",5300,NA
"Rissa tridactyla","Black-legged Kittiwake","Mouette tridactyle","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5310,"Atlantic"
"Rhodostethia rosea","Ross's Gull","Mouette rosée","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",5330,NA
"Pagophila eburnea","Ivory Gull","Mouette blanche","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",5340,NA
"Hydroprogne caspia","Caspian Tern","Sterne caspienne","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5500,"Canada"
"Chlidonias niger","Black Tern","Guifette noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",5520,"Canada"
"Sterna dougallii","Roseate Tern","Sterne de Dougall","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",5560,"Atlantic"
"Sterna hirundo","Common Tern","Sterne pierregarin","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",5570,"Canada"
"Sterna paradisaea","Arctic Tern","Sterne arctique","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",5580,NA
"Sterna forsteri","Forster's Tern","Sterne de Forster","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5590,"Canada"
"Stercorarius skua","Great Skua","Grand Labbe","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5660,NA
"Stercorarius maccormicki","South Polar Skua","Labbe de McCormick","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5670,NA
"Stercorarius pomarinus","Pomarine Jaeger","Labbe pomarin","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",5680,NA
"Stercorarius parasiticus","Parasitic Jaeger","Labbe parasite","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",5690,NA
"Stercorarius longicaudus","Long-tailed Jaeger","Labbe à longue queue","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",5700,NA
"Alle alle","Dovekie","Mergule nain","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",5720,NA
"Uria aalge","Common Murre","Guillemot marmette","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5730,"Atlantic"
"Uria lomvia","Thick-billed Murre","Guillemot de Brünnich","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",5740,"Arctic"
"Alca torda","Razorbill","Petit Pingouin","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5750,"Atlantic"
"Cepphus grylle","Black Guillemot","Guillemot à miroir","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5770,"Atlantic"
"Cepphus columba","Pigeon Guillemot","Guillemot colombin","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5780,"CAN"
"Brachyramphus marmoratus","Marbled Murrelet","Guillemot marbré","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5800,"USACAN"
"Synthliboramphus scrippsi","Scripps's Murrelet","Guillemot de Scripps","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5832,NA
"Synthliboramphus antiquus","Ancient Murrelet","Guillemot à cou blanc","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5850,"Pacific"
"Ptychoramphus aleuticus","Cassin's Auklet","Starique de Cassin","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5860,"Pacific"
"Aethia psittacula","Parakeet Auklet","Starique perroquet","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5870,NA
"Cerorhinca monocerata","Rhinoceros Auklet","Macareux rhinocéros","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5910,"Pacific"
"Fratercula arctica","Atlantic Puffin","Macareux moine","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5920,"Atlantic"
"Fratercula corniculata","Horned Puffin","Macareux cornu","No Suitable Data","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5930,NA
"Fratercula cirrhata","Tufted Puffin","Macareux huppé","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",5940,"Pacific"
"Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)","Pigeon biset (forme domestique)","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",5970,"Canada"
"Patagioenas fasciata","Band-tailed Pigeon","Pigeon à queue barrée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",6040,"Canada"
"Zenaida macroura","Mourning Dove","Tourterelle triste","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6170,"Canada"
"Coccyzus americanus","Yellow-billed Cuckoo","Coulicou à bec jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",7060,"Canada"
"Coccyzus erythropthalmus","Black-billed Cuckoo","Coulicou à bec noir","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",7100,"Canada"
"Tyto alba","Barn Owl","Effraie des clochers","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",7270,"BC"
"Psiloscops flammeolus","Flammulated Owl","Petit-duc nain","No Suitable Data","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",7290,NA
"Megascops kennicottii","Western Screech-Owl","Petit-duc des montagnes","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",7310,"CAN"
"Megascops asio","Eastern Screech-Owl","Petit-duc maculé","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",7320,"CAN"
"Bubo scandiacus","Snowy Owl","Harfang des neiges","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",7450,"USACAN"
"Surnia ulula","Northern Hawk Owl","Épervière boréale","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",7460,"USACAN"
"Glaucidium gnoma","Northern Pygmy-Owl","Chevêchette naine","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",7470,"CAN"
"Athene cunicularia","Burrowing Owl","Chevêche des terriers","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N",7550,"Canada"
